name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
MCM8	-0.165498357	23.70088655	0.767621685	0.11485276512101619	absent
RPL18A	-0.166690029	30.82831323	0.272331755	0.5649017151888759	absent
NUP54	-0.167251782	23.52238391	0.600692412	0.2213478540645353	absent
AP2A2	-0.167675241	25.2882771	0.571830346	0.24273280114549028	absent
NUP37	-0.168015579	21.43392797	0.832539858	0.07959496539510712	absent
ZNF281	-0.168939591	25.80740499	0.725316517	0.1394724326164531	absent
TAF1C	-0.169852936	24.84200554	0.776822142	0.10967840409468212	absent
YTHDF2	-0.17027562	28.58181547	0.208218973	0.6814796999273867	absent
MYH10	-0.172573927	30.71019199	0.342538062	0.4652911637390216	absent
RPRD1A	-0.17263841	26.46867481	0.56732334	0.24616934894949585	absent
XRCC1	-0.172685446	26.727172500000002	0.452242788	0.3446283501879445	absent
CPSF7	-0.172889392	29.63513075	0.079435918	1.0999830811746065	absent
ZMYM1	-0.173086796	26.91446959	0.336297303	0.4732766155783599	absent
HAUS6	-0.173295704	22.16603399	0.712470957	0.1472328344376494	absent
CTR9	-0.174377758	28.63496524	0.140451217	0.8524744933147022	absent
PRPF4	-0.174398164	28.20019763	0.432969817	0.3635423779358656	absent
DDX17	-0.174541476	34.1938856	0.030640616	1.5137025078804367	absent
EIF3C	-0.176308215	27.65193211	0.263765443	0.578782103776358	absent
TJP2	-0.176444705	28.84016333	0.346149536	0.4607362462070291	absent
CFAP20	-0.176667042	24.08924082	0.777974427	0.10903467858270352	absent
ELAVL1	-0.176701851	30.82861705	0.168006386	0.7746742102274016	absent
WDR12	-0.177045747	26.09009788	0.523894116	0.280756479206342	absent
NOM1	-0.178137175	30.09248593	0.370911412	0.43072980433010555	absent
XPC	-0.178421141	27.7376137	0.591740816	0.22786847373090077	absent
GTF2F2	-0.178557595	26.85256872	0.434632997	0.3618773054636567	absent
LARP4	-0.179825882	26.40164229	0.668123972	0.17514294566801994	absent
