name	logFC	ave_exp	P.Value_region6__vs__nontargeting	minus_log_pval	TFDatabase
COG1	-0.380399898226941	22.4741738026566	0.716023405009814	0.14507278146242297	absent
PWP2	1.30813049597433	29.8339599335805	4.55522955154327e-4	3.341489732751005	absent
HSPA14	2.77459408459024	23.4451480269901	2.52394011852685e-4	3.597920953113267	absent
MEX3A	2.4538058732608	23.8736349679618	0.00355890613844663	2.44868346580122	absent
CNOT1	0.00313807946308817	30.1154593630597	0.994198618591691	0.0025268446353847915	absent
MAP1LC3B2	1.65333735933928	23.0524400227629	0.0906975814556922	1.0424042936946065	absent
FBLL1	1.33326403400121	29.9161723297854	0.0293891630329213	1.5318127819219312	absent
SMCHD1	-0.352645429609375	29.4526002961653	0.436775959489427	0.3597412735734887	absent
RGPD3	0.280555496858472	28.3699400285108	0.670513396153716	0.17359254097790106	absent
ZSWIM8	0.152294763921167	21.9073031448643	0.812205480544667	0.09033408433345254	absent
POM121C	-0.747901004645644	29.3086515651682	0.111462080860401	0.9528728534585897	absent
SNRPG	3.02130364705067	24.1234921382853	0.00111156906002567	2.9540635500982706	absent
VKORC1	1.5215903263873	27.5093288994657	0.397570667360737	0.4005856652035469	absent
C11orf98	1.00922976602514	26.3501753130237	0.177805037409176	0.7500559391587314	absent
SUMO1	0.130235797041638	25.3402467765416	0.907469633604757	0.04216789871999235	absent
TATDN2	0.392716100004156	22.3400628921431	0.671142205858408	0.17318544901704136	absent
VPS4A	0.873216763896446	22.808401356121	0.335754881148762	0.4739776649122223	absent
TOMM40	2.81034047532565	23.4439381062119	0.0457668174466611	1.3394492866858565	absent
KIF2A	0.248674169983518	29.4969918515955	0.450053511134199	0.34673584576096633	absent
DDX39A	0.0412778996376601	28.2450993334188	0.949700354284334	0.022413399983194696	absent
MYO1C	-0.39413337192665	31.3646905599981	0.115473740695163	0.9375167652764701	absent
AIP	0.540822279137173	23.4417414537315	0.592062952974469	0.22763211308135944	absent
GTPBP1	1.08907879368771	27.9638571003513	0.179727827779494	0.7453846746138036	absent
ARVCF	-0.440987755513905	22.85136755044	0.391122547069857	0.40768714752070356	absent
AP3B1	-1.09794289352369	22.5336003531858	0.185480984975838	0.7317006064982763	absent
MEN1	1.47281924436225	25.3877479652304	0.0855744476228325	1.0676558955220166	absent
CBX4	1.11840838053483	25.6895424433069	0.174954546233036	0.7570747677951468	absent
SUPT5H	0.507256377689151	30.2861005651379	0.267698587499677	0.5723539203435655	absent
TAF4	-0.671165806244755	23.9375117330707	0.536360760373372	0.270543002216175	absent
HIP1	-0.0950053151273806	23.7627797382796	0.922410477740634	0.035075772496644765	absent
EIF3F	-0.297851267029029	21.6060196856128	0.60221813097161	0.22024617332942575	absent
CDC7	0.997325857174066	25.5075755055535	0.274362417278386	0.5616753794320098	absent
IPO5	0.73566347134752	29.4111601973448	0.255671377524772	0.5923178886292274	absent
POLRMT	0.096899075254888	21.7699039590163	0.847408074097339	0.07190740236097265	absent
SAP18	0.0988525732949935	28.2539807520644	0.796149424079439	0.09900541472085789	absent
IGF2BP3	0.672024628571206	27.9872477540171	0.0889606096559098	1.0508022494885214	absent
DNM1L	1.34767728278079	25.9399076184781	0.205672394825278	0.6868239950314762	absent
PIK3C2A	-0.376397627326876	23.1878618302491	0.620931312931425	0.20695643857496757	absent
PIK3R2	-1.05681346450324	22.0237094835446	0.183151961978895	0.7371884246814246	absent
ZNF593	0.573879844829325	24.6908737793551	0.65436412627464	0.1841805176925101	absent
KPNA3	0.0248210928384957	27.7166947278439	0.977332536423288	0.009957642871079983	absent
PES1	0.754847420509308	31.2265620625401	0.004788364283379	2.3198128172791432	absent
MPHOSPH10	0.835077349410719	28.8748431570482	0.0458615722143517	1.3385510609817162	absent
NOP56	0.801251231642478	32.8891160497798	0.00219112479477467	2.659332886638941	absent
DDX3X	-0.17027817614589	33.7836507304898	0.347257591034532	0.45934825182972594	absent
KPNA4	-0.143101986339102	25.6563422461983	0.866111643914084	0.062426122750913506	absent
ARID1A	-0.86854820284843	30.7345316178571	0.0883663415483242	1.053713124844304	absent
CDK2AP1	0.193354493794394	23.2852520590091	0.84108922644062	0.0751579298913695	absent
TMEM194A	-0.532193013865294	23.103940856355	0.540279122179405	0.2673818144290907	absent
