name	logFC	ave_exp	P.Value_region2__vs__nontargeting	minus_log_pval	TFDatabase
PWP2	0.717149007797913	29.6112858879113	0.0125908880171933	1.899943638647776	absent
UBE2L3	0.558783888174263	22.2890039597432	0.447353137570927	0.34934951232769595	absent
HSPA14	0.746319579080183	22.3362271011246	0.186812603198746	0.7285938277042531	absent
KRIT1	0.6452023206357	21.8914563186826	0.325596857021396	0.4873197959967568	absent
ARHGAP10	0.45432662988793	22.8546618594684	0.55262547113469	0.25756910183298865	absent
PLEKHG3	-0.316519652883549	22.4752954474442	0.629009194510816	0.2013430062302058	absent
CNOT1	-1.44756243199551	29.3838828825796	0.0030895584356405	2.5101035861635275	absent
C5orf51	-0.134449919933656	22.7990629377461	0.8335476430023	0.0790695721986999	absent
FBLL1	-0.25310282259936	27.5940518586682	0.867375512548261	0.06179284286893002	absent
SMCHD1	0.559666352046725	30.2289824240789	0.0236679206854102	1.6258398947755563	absent
RGPD3	0.849123047844554	26.4268349558773	0.569524574282699	0.24448753190952086	absent
ZSWIM8	-0.735263884460443	22.4545040929419	0.227630339722935	0.6427698534539997	absent
POM121C	-1.02778690100809	28.9558175598303	0.0681866719437005	1.1663005060909035	absent
C11orf98	-0.530531857003636	21.9521397651661	0.436314441224443	0.3602004124078747	absent
KIF2A	-0.210869900617679	29.2172903108871	0.54832881950248	0.2609589275216338	absent
DDX39A	2.08475518110216	28.2596061795598	0.0453039546570448	1.3438638860496601	absent
PDLIM1	0.704414221191541	24.3400042493101	0.629769028067289	0.20081870170236837	absent
MYO1C	-0.0785274051078204	31.4707309562113	0.777456196386708	0.10932407072999685	absent
GTPBP1	0.377534435455063	27.8136718842371	0.436934650016663	0.35958351328005306	absent
ARVCF	-0.211123846284509	24.2426229589814	0.779634258597748	0.108109085417597	absent
AP3B1	0.755103655608493	22.7602918134741	0.44689172387701	0.349797688096024	absent
MEN1	1.44083017221444	23.8945920275415	0.13905294820766	0.8568197987685761	absent
CBX4	-0.786984557262306	24.2204414611298	0.40780070338223	0.38955202947804135	absent
SUPT5H	1.25463606772916	30.9592645471688	6.15611616137836e-4	3.210693193946201	absent
TAF4	-0.687829267555129	23.3932829528594	0.49893532120691	0.30195574989472146	absent
HIP1	-1.39234644252194	22.9063512565874	0.0850519476081826	1.070315737009647	absent
WWP2	0.522052060012493	22.9513552474178	0.468296363872236	0.32947921432202876	absent
CDC7	0.50870369417049	23.8017678981698	0.550542561033471	0.2592091012017917	absent
IPO5	-0.631444006347432	27.8205471082481	0.512480820521166	0.2903223833408658	absent
POLRMT	0.688012651851475	22.1761233837373	0.22975444614759	0.6387360755079863	absent
SAP18	-0.164522866437996	27.984059824422	0.693226830375089	0.15912463687221037	absent
IGF2BP3	-0.876408351752296	26.7429622728597	0.15194795271011	0.8183051470660517	absent
DNM1L	-1.92123630282932	22.8396328320037	0.0240785651551291	1.6183693963085695	absent
RTCA	0.483630617436241	22.1622515779336	0.413537444630461	0.38348516021028506	absent
PIK3C2A	-1.03451204226679	22.7522713908997	0.0973575635611294	1.0116303031551188	absent
MEIS1	1.06572570113331	23.3694907379697	0.141323737403875	0.849784885867698	exist
NDUFA4	-0.336908459312113	22.5961821983911	0.714702298874328	0.14587482096749171	absent
KPNA3	1.3600762592664	27.5784746690437	0.264900641982771	0.5769169891952677	absent
PES1	-0.256611527920718	30.9461339772267	0.54391796191159	0.2644665991545227	absent
MPHOSPH10	0.179867604135236	28.574294963615	0.641086609713351	0.1930832940698391	absent
NOP56	0.0318216693280654	32.599733531722	0.919121721628061	0.03662697008195425	absent
DDX3X	0.285325840149084	33.5523168417859	0.128603932818846	0.8907457501100331	absent
KPNA4	-0.311372543298875	26.0336598874574	0.660191508135166	0.18033006618225536	absent
ARID1A	0.557293034685395	31.6393289627436	0.0927082859402201	1.0328814484089242	absent
CDK2AP1	0.9824316222013	23.2807655622355	0.334073044169816	0.47615856548905133	absent
TMEM194A	-2.13468503166131	23.5841405725467	0.0389081924229775	1.4099589449598466	absent
CIT	0.176181263241591	24.7532553014323	0.852539109493696	0.06928568899504317	absent
AP3D1	-0.240837473219467	27.2740870391651	0.725356089055093	0.1394487388828057	absent
ABLIM1	-0.566059584023991	25.967806891649	0.461621439210285	0.3357140293269681	absent
CHD1	0.964191838582724	28.7902726122093	0.00856300045135444	2.067374033086622	absent
CHD2	1.72985529576682	24.4551610812275	0.102630589889029	0.9887231748971459	absent
IRS4	-1.42509858971015	32.3326536156421	6.4199810452167e-5	4.192466254169456	absent
KMT2D	-0.89151912862901	23.9255861334993	0.345896762337637	0.4610535030491805	absent
RGPD8	-1.75575205606751	26.3446884717953	0.0239956879778244	1.619866793942039	absent
PDCD5	1.18377508271634	22.8591159390785	0.154769899369823	0.8103134997818099	absent
CHEK1	0.92260333250396	23.8195535116728	0.260908315254336	0.5835120795370854	absent
TCERG1	1.31467115812485	28.1257377807929	0.0196748232321371	1.7060891608571978	absent
NDC80	0.952985536145874	22.647916083345	0.248597164959354	0.6045038284277978	absent
TNPO2	1.68083228492686	24.0240094141556	0.20411565139938	0.6901236927078777	absent
POLR3A	0.552208193448331	22.8110434809686	0.490159544619009	0.30966253615566713	absent
SCAMP3	0.268755777229829	22.5145278551671	0.700858667765142	0.1543695512175012	absent
BCKDK	0.349889484172636	21.6998964980315	0.583859428946554	0.23369170182835247	absent
HAT1	1.92955375615702	22.8757229715353	0.0456407145491059	1.3406475649044691	absent
CASK	0.110737320924409	25.8522415357365	0.909896695836947	0.04100791204670087	absent
MYL12A	-0.443429393755775	23.3036685105944	0.666197872856593	0.17639675832769805	absent
HGS	0.571712106522135	22.9908978840753	0.515322552114652	0.2879208510482753	absent
AURKA	0.085052022530984	27.8522419028519	0.82971107439984	0.08107311321269757	absent
PPP1R12A	-0.690423657325411	27.922464617567	0.10587770404630201	0.9751954849267238	absent
GAK	-0.895720570243517	23.3741022470317	0.219848934787354	0.6578756342839608	absent
HNRNPDL	0.782372723336488	32.6506290197498	0.00192339000446358	2.715932645239896	absent
XPO1	0.0903479659010252	29.9320455908099	0.734528244318559	0.13399149992020884	absent
BTAF1	0.258501491862861	23.7291049543408	0.773325178364422	0.11163784958308023	absent
SPTBN2	-0.40619686161962	26.737725492888	0.775928425869388	0.11017833761240854	absent
SEC16A	-2.51484265583201	25.2124494465228	0.0341965173791618	1.4660181208452294	absent
U2SURP	0.209811505374836	32.8433412000595	0.380473062053224	0.4196760863724635	absent
SETD1A	0.948803331734437	25.1034151932614	0.31056284073388	0.5078505094241366	absent
TRANK1	0.941968643454382	24.3069319968009	0.394329994803941	0.4041401869582505	absent
DCLK1	-0.517353739624196	22.4351628434463	0.387684595346026	0.41152145534855866	absent
ZNF536	0.491997881506564	22.5454479002631	0.453612595884787	0.3433148944870476	exist
KPNA5	0.563680892757381	21.8229111193242	0.436599373296958	0.35991689202098925	absent
POLR1C	0.517801841515081	27.8758526345546	0.179415199956417	0.7461407665452057	absent
TRIM24	-0.245358922018316	26.9470130662672	0.638335629043362	0.1949509145156924	absent
WDR46	-1.01938684287511	27.0186852777845	0.387538587664276	0.41168504780203263	absent
NKRF	-0.222484170088427	30.6075238041233	0.576417911049507	0.23926253280407306	absent
CASC3	-1.11814226428637	24.0856498281356	0.224673606072549	0.6484479440932163	absent
SURF4	0.116198129127959	23.1697799822773	0.887048625504149	0.052052572716963244	absent
ATXN7	-0.496026285716096	22.7252400911355	0.479424798687448	0.3192795054409341	absent
FANCG	-0.776931545588573	22.2249715919063	0.187109924061613	0.7279031774871779	absent
OGT	-0.29532729145302	26.5334232500136	0.651577467328195	0.18603394275553356	absent
MID1	1.58380124122274	24.6054375494799	0.0916402154270819	1.0379138985454626	absent
HMGB3	-1.24394017489176	22.5290957392582	0.246970532005341	0.6073548627360633	absent
PPM1G	0.594741291818435	23.3226780554661	0.594791542414473	0.22563521551800375	absent
EIF3D	-0.155392261844988	28.3211523833349	0.701138434302554	0.1541962255168237	absent
EIF3H	1.35205131709657	23.7409402266262	0.176481198128586	0.7533015564742199	absent
NVL	-0.305199019277167	29.5411120662445	0.366457225371949	0.43597671097939106	absent
IPO8	1.3730119235113	23.1206889974189	0.115360763708827	0.9379418775082152	absent
TNRC18	-0.669503712095761	22.8090729459524	0.307851319368096	0.5116589807989707	absent
CD3EAP	0.539112675664577	23.6223944165835	0.601729842822794	0.2205984491168395	absent
NUPL2	0.224687500150873	22.9951642753569	0.800986525659069	0.09637478963503028	absent
MAFG	0.265878868448403	24.6859090335102	0.763836803061692	0.1169994203518738	absent
KDM6A	-0.0447078557365828	23.652673865036	0.96160889632154	0.01700152744877969	absent
DHX15	0.476862755781152	33.0101527573247	0.0553987752886983	1.25649983619647	absent
RNMT	1.38933628401939	24.7043919862996	0.129965596981024	0.8861715939903874	absent
TTI1	-0.470024316991368	22.127346801969	0.427266605180917	0.3693010499687054	absent
RRP8	-0.743051100196987	26.6812049103269	0.240234519291271	0.619364588687485	absent
SIPA1L1	-2.3791030136121	25.5941122237755	0.00196061577926154	2.7076075064320078	absent
ZBTB24	0.711015661749012	22.3760240792665	0.201224533990047	0.6963190697049556	exist
PRPF4	0.521802994427582	28.3868208799886	0.153863086773577	0.8128655590730787	absent
PHGDH	0.542971362903333	28.4722025811699	0.448579040134332	0.34816102269834964	absent
PSMD3	0.296726566083088	23.9226346692661	0.749133351998586	0.12544086737097487	absent
RBFOX2	1.14295631168036	27.4127360805736	0.0227812151249051	1.642423114850123	absent
SART1	0.636909617610677	29.6736980387091	0.0741337503937683	1.129984028556009	absent
DAPK3	0.175349889683991	22.8739142004922	0.797554984230562	0.09823936654692807	absent
HSPA12A	0.237757087936367	22.8843643740638	0.790038822450054	0.1023515669860563	absent
CCP110	-1.39245034528808	22.1772571413081	0.0603706549021051	1.2191741128855078	absent
EEF1E1	-0.621008613963234	24.5166460266712	0.44871574816931	0.3480286881602333	absent
MSI1	2.10317938212615	24.6909636900393	0.0301371337371463	1.5208980546535729	absent
HNRNPR	0.586721866024483	33.6907612395528	9.62894943480782e-4	3.0164210939299556	absent
PRPF3	0.159653341272979	29.4725550883146	0.595713418806757	0.224962617043859	absent
EIF4G3	-3.43861844506205	23.8230910811303	2.45188917315591e-4	3.6104991640780124	absent
PPIH	-0.684896349854442	23.2627713611375	0.415529384488198	0.38139825931706206	absent
EPB41L2	1.17181670957783	28.6911209179197	0.0506139694112735	1.295729601718828	absent
RAD51C	0.940944813506468	22.7301524542373	0.161709620565816	0.791264141909561	absent
XRCC3	0.280482658451622	21.7915061066763	0.545696005934182	0.26304922489945076	absent
DENR	1.99764110987533	23.5201828056142	0.0252502226076381	1.5977347887594704	absent
XPOT	-1.20381597619312	22.3850631905119	0.0733727345050745	1.134465295040879	absent
PLRG1	0.909914712237622	30.4970964801396	0.101289160574892	0.9944370280295352	absent
PRC1	1.15193171748114	28.303435719553	0.0257358897748492	1.5894608121572706	absent
ZNF207	0.687214683313787	31.1101955699508	0.0105306661366384	1.9775441558500337	exist
BUB3	0.930294216656345	30.1165881896459	0.00257757525961737	2.588788645400657	absent
ACTN4	-0.558135547676903	31.9686091461198	0.115306459747536	0.9381463617935548	absent
HTATSF1	0.920938126410545	26.6048206963769	0.263931275322708	0.578509143712202	absent
ENSA	1.92634867732857	22.9997320694761	0.0328601021956932	1.4833310902327703	absent
MYO1B	0.928766043969878	29.8417993917967	0.0664688066087287	1.1773821185464026	absent
NUDT21	0.816756914203691	28.5006865181211	0.227613615773164	0.6428017621439087	absent
LANCL1	4.20893758221411	26.0693426864081	4.26316402129907e-4	3.370267957952267	absent
RRP9	1.07584621493844	28.2252803090033	0.031183756817278	1.5060715650057657	absent
AKAP8	-1.34619327282304	24.9867184634289	0.202703992234849	0.6931376978363859	absent
GTPBP6	-1.12125296780495	23.9501314730321	0.323052068188678	0.49072747424908636	absent
ORC5	0.701544633445969	28.2726892566328	0.175145992663287	0.7565997948814368	absent
RAD21	2.60354850522931	27.682477535086502	6.14319721894602e-4	3.2116055420261778	absent
DHX16	1.04735620234384	29.0478936438717	0.00269575094665893	2.5693202336085266	absent
MED14	0.459883877843033	28.2563338000234	0.490204368887822	0.30962282246905304	absent
SMARCA5	0.413198562961037	32.5624715792746	0.221497738715903	0.6546307031574727	absent
URB1	-0.536239506077031	29.6716831045666	0.0914159518193276	1.0389780145217953	absent
SIPA1L3	-1.77915104290977	25.2222820013679	0.020690678189343	1.6842252740001789	absent
ZFC3H1	0.205912766399561	26.0059863616387	0.793917934124706	0.1002243874958129	absent
AQR	0.583074214260462	29.4190189896148	0.0845993694294512	1.072632874009799	absent
MCM3AP	-0.419919107707551	29.5846706368907	0.216362538355022	0.6648179320778539	absent
KDM1A	1.70903666221825	27.3096485951099	0.0374322911066307	1.4267535903444144	absent
SYNCRIP	0.340521914382327	32.4580728502894	0.100944649801793	0.9959166942848114	absent
CDC40	1.13659520916304	27.2621021477724	0.120960261590881	0.9173572826286385	absent
NEMF	-0.0350654375269214	23.1479763887581	0.969153428757637	0.013607463415590404	absent
CCNT1	0.766645135494042	26.1784695346515	0.353150888339305	0.45203969695812607	absent
DIAPH1	-0.332457962199117	22.7003573110202	0.713067259039519	0.14686950401619683	absent
PRMT3	0.911312589795005	22.5041789718346	0.165640621959166	0.7808331474468472	exist
KPNA6	0.678325648981681	26.1704913433432	0.454755759081795	0.3422217922719401	absent
CTNND1	0.231479000135171	30.4721620244276	0.40787551649128	0.38947236325820084	absent
HIST1H2BD	-1.40288540976126	33.0003096005859	0.00163128264064767	2.7874707853490026	absent
PQBP1	1.98712596272476	27.5651272580088	0.0196725559690343	1.7061392104348647	absent
DKC1	0.201442672598263	30.3753493412607	0.428875959233685	0.3676682975818084	absent
EIF5B	0.371671965149407	30.3195124143846	0.305178688896005	0.5154457971195706	absent
KIN	0.488803853799587	26.7499152553246	0.440391449898576	0.35616112134859196	exist
DNAJA2	2.15182412928191	23.1239619989202	0.0123530110757906	1.908227169188867	absent
BRD4	2.56389638091308	25.7097367898176	0.0405899489348521	1.3915814950568437	absent
NBN	1.91168043524585	26.6204721236916	0.025352589752781	1.5959776711276548	absent
DTNB	-1.54635509413561	22.47913312847	0.0522727203560806	1.2817248979337745	absent
RNGTT	-0.898916764119914	24.5964246349536	0.265061128266523	0.5766539577333855	absent
NOS1AP	-0.865479583111844	23.9815736320567	0.349547849836562	0.45649336498966747	absent
CLASP2	0.0574238817322157	27.4916537837431	0.910684051312458	0.040632269098521176	absent
CPNE3	1.9720040867336	27.0697390303936	0.00216022637098772	2.665500736571481	absent
ZBED4	0.257410966455408	23.1696479227467	0.735161045138198	0.13361751349591147	absent
RNF40	1.20575333460729	24.7631052973898	0.129842759352862	0.8865822636763724	absent
PHF2	0.691764166989756	25.4215504451626	0.373043776913047	0.4282402004803516	absent
ZC3H11A	0.296636575575133	29.5254671195116	0.287412408624643	0.5414944857464082	absent
DNAJC13	-1.94010164351543	23.749608909985	0.0407039398614685	1.3903635520208946	absent
CNOT3	-1.13628762876831	25.5535306702914	0.245641880867422	0.6096975859063193	absent
SS18L1	-0.08730156431481	23.457310853483	0.92214726163883	0.035199719065404325	absent
ANKRD17	-0.942516221379774	24.4228825779296	0.336240549035972	0.47334991385707353	absent
SIN3B	-0.172340402069341	23.9241222195703	0.856942192889391	0.06704847347458821	absent
DNAJB6	-2.00161551813825	24.5548899253448	0.0333850691418445	1.4764477199879213	absent
DUSP11	-1.67447872817611	23.8552796244966	0.107131470850321	0.9700829324459702	absent
PDCD6	2.65604881524209	27.2865073568584	0.00607218413467043	2.2166550672412346	absent
H2AFY	-0.368488796342124	29.9836339822366	0.38056005846736	0.41957679486529925	absent
FLNB	-0.178481190020356	30.1073912991707	0.693158030457322	0.15916774095609107	absent
NCOR1	0.224663162044489	25.4379110444482	0.806295510807525	0.09350575820504678	absent
SEC22B	-0.384533857059449	23.873550213501	0.675449218558464	0.17040729642559846	absent
PRPF40A	0.674909654722274	29.1378996946048	0.143080497835542	0.8444195574324009	absent
CDC45	0.269904259128867	21.7729443549701	0.641747725428919	0.19263566194038312	absent
MED24	-0.244152214721924	25.1266033154949	0.789101042202309	0.1028673830246818	absent
KATNA1	-0.366142033626268	22.637937570517	0.591445427836517	0.22808532116764826	absent
E2F6	0.0224379232503375	22.9385394584919	0.979751403740687	0.00888410561316914	absent
PSIP1	-0.0726586457498464	27.0549858706211	0.898555973804734	0.04645486417841667	absent
SRSF10	0.2638041867803	28.2078206502814	0.766527446237301	0.11547229020816135	absent
KHDRBS3	0.335401674580922	24.2914963155323	0.803869829851295	0.09481427059751203	absent
TADA3	-0.393171884897058	24.274209717982	0.731648132819076	0.13569773139393945	absent
TAF5L	0.0419598972187094	23.7792175147483	0.947728075680492	0.023316253560578502	absent
EED	0.279354837568025	27.0309290828149	0.696465522033639	0.15710037810743985	absent
SF3B1	0.740906291885307	33.7077979470487	0.00770033421407015	2.1134904249344646	absent
CSDE1	-0.37720003916462	27.1752422847391	0.558556333289597	0.25293301949903424	absent
